tiempo	presion	sonido	sonido rectificado y amplificado
0,151	10,5225	-0,223541	0,318460985
0,152	10,5225	-0,240173	0,317984854
0,153	10,5225	-0,219879	0,271381139
0,154	10,5225	-0,203552	0,232664372
0,155	10,5225	-0,203857	0,217170251
0,156	10,5225	-0,22171	0,224584655
0,157	10,5225	-0,238647	0,230388198
0,158	10,5225	-0,224304	0,196727093
0,159	10,5225	-0,173492	0,119594729
0,16	10,5225	-0,101776	0,021178733
0,161	10,5225	-0,0247192	0,037729603
0,162	10,5225	0,0610352	0,141295345
0,163	10,5225	0,14679	0,23835436
0,164	10,5225	0,211945	0,303565226
0,165	10,5225	0,213165	0,284760024
0,166	10,5225	-0,0942993	0,078718988
0,167	10,5225	-0,534973	0,623358416
0,168	10,5225	-0,252838	0,230266265
0,169	10,5225	0,868835	1,147549678
0,17	10,5225	1,95679	2,434134118
0,171	10,5225	2,08588	2,441298824
0,172	10,5225	1,03683	0,975338358
0,173	10,5225	-0,591431	1,082526845
0,174	10,5225	-1,84418	2,579189291
0,175	10,5225	-2,24991	2,923039911
0,176	10,5225	-2,06818	2,51096076
0,177	10,5225	-1,55197	1,706673305
0,178	10,5225	-0,615387	0,427454472
0,179	10,5225	0,567169	1,038854922
0,18	10,5225	1,43677	2,059326355
0,181	10,5225	1,71799	2,280203427
0,182	10,5225	1,53656	1,908889883
0,183	10,5225	1,0556	1,186494157
0,184	10,5225	0,406189	0,298924144
0,185	10,5225	-0,215912	0,458740701
0,186	10,5225	-0,561829	0,861056786
0,187	10,5225	-0,559998	0,803409605
0,188	10,5225	-0,428162	0,586878254
0,189	10,5225	-0,419769	0,538255719
0,19	10,5225	-0,543365	0,657674477
0,191	10,5225	-0,601501	0,687764934
0,192	10,5225	-0,441742	0,443596002
0,193	10,5225	-0,0999451	0
0,194	10,5225	0,24231	0,401051321
0,195	10,5225	0,426636	0,605003386
0,196	10,5225	0,440063	0,582517015
0,197	10,5225	0,362854	0,448148504
0,198	10,5225	0,267334	0,299333866
0,199	10,5225	0,172577	0,160823278
0,2	10,5225	0,0645447	0,014421441
0,201	10,5225	-0,0498962	0,090792447
0,202	10,5225	-0,127106	0,180343402
0,203	10,5225	-0,130157	0,171569205
0,204	10,5225	-0,0747681	0,090296432
0,205	10,5225	-0,0132751	0,006500053
0,206	10,5225	0,0117493	0
0,207	10,5225	-0,00305176	0
0,208	10,5225	-0,0270081	0,021623302
0,209	10,5225	-0,0204468	0,010806407
0,21	10,5225	0,0224304	0,004725716
0,211	10,5225	0,0708008	0,063635154
0,212	10,5225	0,0819397	0,072303827
0,213	10,5225	0,0508118	0,027594332
0,214	10,5225	0,00534058	0
0,215	10,5225	-0,0279236	0,033046602
0,216	10,5225	-0,057373	0,066525336
0,217	10,5469	-0,0767517	0,085312164
0,218	10,5469	-0,0944519	0,100820455
0,219	10,5469	-0,110626	0,113446707
0,22	10,5469	0,122986	0,146952997
0,221	10,5469	0,784149	0,96291678
0,222	10,5469	1,31058	1,559197048
0,223	10,5469	0,746155	0,754441921
0,224	10,5469	-0,496063	0,8069902
0,225	10,5469	-0,809631	1,146988873
0,226	10,5469	-0,0511169	0,125522175
0,227	10,5469	0,451813	0,472283628
0,228	10,5469	-0,075531	0,177827465
0,229	10,5469	-1,14197	1,498446348
0,23	10,5469	-1,93436	2,393527051
0,231	10,5469	-1,99661	2,319693174
0,232	10,5469	-1,53717	1,598385916
0,233	10,5713	-1,03149	0,86459973
0,234	10,5713	-0,708008	0,40466619
0,235	10,5713	-0,382233	0
0,236	10,5713	-0,0262451	0,433639739
0,237	10,5713	0,582428	1,165978089
0,238	10,5713	1,4183	2,136300888
0,239	10,5713	2,19223	2,968229007
0,24	10,5713	2,67944	3,389485541
0,241	10,5713	2,57187	3,040798747
0,242	10,5713	1,69907	1,757483089
0,243	10,5713	0,682831	0,375501783
0,244	10,5713	0,110168	0,325177077
0,245	10,5713	0,139465	0,266867711
0,246	10,5469	0,529633	0,198866719
0,247	10,5469	0,720825	0,424104917
0,248	10,5469	0,359039	0,016031518
0,249	10,5469	-0,545502	1,144443841
0,25	10,5469	-1,53046	2,302477177
0,251	10,5469	-2,10129	2,870089132
0,252	10,5469	-2,15851	2,760024476
0,253	10,5713	-1,85028	2,200062887
0,254	10,5713	-1,65665	1,818534722
0,255	10,5713	-1,69022	1,744978678
0,256	10,5713	-1,48987	1,383644297
0,257	10,5957	-0,970154	0,645805725
0,258	10,5957	-0,220947	0,292536833
0,259	10,5957	0,67337	1,390795814
0,26	10,6201	1,29684	2,081490399
0,261	10,6201	1,60278	2,331874863
0,262	10,6201	1,75415	2,373314707
0,263	10,6445	1,73599	2,200238309
0,264	10,6445	1,70456	2,021449122
0,265	10,6445	1,6185	1,785606091
0,266	10,6445	1,35666	1,344856514
0,267	10,6445	0,971985	0,7782563
0,268	10,6445	0,442352	0,066059127
0,269	10,6445	-0,102539	0,580461877
0,27	10,6445	-0,558777	1,113031245
0,271	10,6445	-1,04233	1,646282042
0,272	10,6201	-1,3913	1,977798953
0,273	10,6201	-1,54053	2,038811043
0,274	10,6201	-1,61484	2,00233963
0,275	10,6201	-1,4357	1,651347284
0,276	10,5957	-1,09055	1,114895937
0,277	10,5957	-0,847015	0,739169572
0,278	10,5957	-0,483093	0,236567041
0,279	10,5957	-0,03479	0,299932292
0,28	10,5957	0,309143	0,709746603
0,281	10,5957	0,768585	1,238197772
0,282	10,5957	1,18835	1,683849124
0,283	10,5957	1,23566	1,635930626
0,284	10,5957	1,18362	1,466835436
0,285	10,5957	1,01257	1,159602311
0,286	10,5957	0,610657	0,583094462
0,287	10,6201	0,434723	0,325283419
0,288	10,6201	0,418091	0,282798622
0,289	10,6201	0,104523	0,088186776
0,29	10,6445	-0,128479	0,372641701
0,291	10,6445	-0,160217	0,387643795
